Index,Date,pressure,temperatureMin,temperatureLow,temperatureMax,temperatureHigh,cloudCover,windSpeed,precipProbability,windGust,windBearing,uvIndex,precipIntensityMax,precipIntensity,ozone,visibility,moonPhase,class
51,9/1/2019,1001.1,80.29,79.82,93.33,93.33,0.98,6.05,0.56,18.89,150,5,0.0391,0.0064,266.1,9.856,0.09,1
52,9/1/2019,1000.6,80.55,79.42,93.27,93.27,0.91,5.85,0.54,18.91,150,6,0.0329,0.0059,266.4,9.849,0.09,1
53,9/1/2019,1000.5,80.63,78.71,93.59,93.59,0.82,5.63,0.54,19.01,149,6,0.0237,0.006,266.5,9.888,0.09,1
54,9/2/2019,1001.3,79.8,79.46,94.02,94.02,0.91,6.58,0.59,19.54,144,7,0.0423,0.0107,267,10,0.12,1
55,9/2/2019,1001.3,79.71,79.4,94.06,94.06,0.9,6.56,0.62,19.31,144,7,0.0423,0.0107,267.1,9.972,0.12,1
56,9/2/2019,1001.3,79.79,79.35,94.02,94.02,0.91,6.59,0.59,19.51,144,7,0.0438,0.0109,267,10,0.12,1
57,9/2/2019,1001.3,79.36,79.07,94.38,94.38,0.91,6.51,0.58,19.16,145,7,0.0414,0.0104,267,9.987,0.12,1
58,9/2/2019,1000.9,79.26,79.07,94.36,94.36,0.9,6.52,0.61,19.11,144,8,0.0402,0.0104,267.1,9.938,0.12,1
59,9/2/2019,1001,79.94,79.58,93.93,93.93,0.91,6.52,0.59,19.29,144,7,0.043,0.0107,267,10,0.12,1
60,9/2/2019,1001.3,79.81,79.32,94.01,94.01,0.91,6.52,0.6,19.53,143,7,0.0465,0.0114,267,10,0.12,1
61,9/2/2019,1000.9,79.42,79.3,93.64,93.64,0.88,6.38,0.64,19.3,142,7,0.0488,0.012,267.1,9.983,0.12,1
62,9/2/2019,1000.8,78.71,79.37,93.27,93.27,0.83,6.24,0.64,19.19,141,8,0.0468,0.012,267.2,9.659,0.12,1
63,9/3/2019,1001,79.46,79.41,93.54,93.54,0.95,9.63,0.51,21.88,121,6,0.0414,0.0052,268.2,9.721,0.16,1
64,9/3/2019,1001,79.46,79.55,93.59,93.59,0.94,9.51,0.51,21.75,120,6,0.0412,0.0052,268.2,9.642,0.16,1
